periodid,period
54,"[2020-06-02 04:34:38.027053+02, 2020-06-02 15:12:17.617008+02]"
55,"[2020-06-01 18:34:46.514998+02, 2020-06-03 06:28:57.281625+02]"
56,"[2020-06-03 02:34:31.256928+02, 2020-06-04 14:20:12.105413+02]"
57,"[2020-06-01 08:40:10.334184+02, 2020-06-01 17:44:03.055403+02]"
58,"[2020-06-04 16:01:15.357686+02, 2020-06-04 16:06:10.160159+02]"
59,"[2020-06-01 06:05:12.160075+02, 2020-06-02 07:26:52.893822+02]"
60,"[2020-06-02 03:53:05.713589+02, 2020-06-02 11:00:11.626419+02]"
61,"[2020-06-02 14:31:58.917735+02, 2020-06-04 01:43:47.402931+02]"
62,"[2020-06-04 23:00:45.398216+02, 2020-06-05 22:17:48.723309+02]"
63,"[2020-06-03 08:43:00.184414+02, 2020-06-04 10:32:00.058112+02]"
64,"[2020-06-03 00:23:42.066505+02, 2020-06-04 09:30:22.223542+02]"
65,"[2020-06-02 20:48:04.652312+02, 2020-06-03 03:57:13.168467+02]"
66,"[2020-06-03 19:43:42.542699+02, 2020-06-06 00:12:35.409028+02]"
67,"[2020-06-01 03:38:13.168549+02, 2020-06-01 15:54:20.433289+02]"
68,"[2020-06-03 04:36:49.837261+02, 2020-06-03 11:50:27.15509+02]"
69,"[2020-06-04 09:57:22.743148+02, 2020-06-04 13:01:00.908499+02]"
70,"[2020-06-01 14:30:47.543216+02, 2020-06-01 18:25:54.657599+02]"
71,"[2020-06-04 08:21:05.74266+02, 2020-06-04 13:20:12.053097+02]"
72,"[2020-06-04 13:31:38.430601+02, 2020-06-06 18:32:17.630379+02]"
73,"[2020-06-02 07:23:34.002778+02, 2020-06-04 01:09:50.003286+02]"
74,"[2020-06-03 10:11:23.214959+02, 2020-06-04 21:52:00.49021+02]"
75,"[2020-06-03 14:50:47.827626+02, 2020-06-04 16:20:52.690954+02]"
76,"[2020-06-02 15:02:02.715193+02, 2020-06-02 17:09:44.737542+02]"
77,"[2020-06-01 18:36:32.251529+02, 2020-06-01 23:40:47.009065+02]"
78,"[2020-06-02 10:57:10.22662+02, 2020-06-03 20:58:57.495064+02]"
79,"[2020-06-04 18:12:10.01532+02, 2020-06-06 05:50:32.955409+02]"
80,"[2020-06-01 03:42:52.213425+02, 2020-06-01 05:09:44.138633+02]"
81,"[2020-06-03 19:49:48.613428+02, 2020-06-03 23:33:54.365863+02]"
82,"[2020-06-02 08:49:49.730063+02, 2020-06-03 08:56:16.65788+02]"
83,"[2020-06-01 07:19:33.821723+02, 2020-06-02 17:30:26.640646+02]"
84,"[2020-06-02 12:18:07.132269+02, 2020-06-03 11:02:01.491414+02]"
85,"[2020-06-01 03:53:43.24965+02, 2020-06-01 06:05:37.758765+02]"
86,"[2020-06-03 02:48:19.133396+02, 2020-06-03 08:50:16.291205+02]"
87,"[2020-06-04 10:28:21.893574+02, 2020-06-06 03:30:19.742172+02]"
88,"[2020-06-04 20:42:10.988308+02, 2020-06-05 05:20:19.516443+02]"
89,"[2020-06-04 12:56:35.898357+02, 2020-06-04 22:00:24.868883+02]"
90,"[2020-06-01 23:45:05.097459+02, 2020-06-02 07:04:31.6975+02]"
91,"[2020-06-04 22:04:31.888732+02, 2020-06-05 22:09:05.888805+02]"
92,"[2020-06-04 00:24:42.24237+02, 2020-06-04 21:40:33.765494+02]"
93,"[2020-06-02 16:43:24.5002+02, 2020-06-03 20:28:47.582924+02]"
94,"[2020-06-03 20:15:19.844183+02, 2020-06-04 15:39:02.342879+02]"
95,"[2020-06-03 16:08:24.154002+02, 2020-06-04 06:59:55.399986+02]"
96,"[2020-06-02 23:32:47.40812+02, 2020-06-03 00:34:59.352015+02]"
97,"[2020-06-03 02:45:15.774443+02, 2020-06-04 04:12:21.903338+02]"
98,"[2020-06-02 15:22:25.505147+02, 2020-06-03 03:35:25.021654+02]"
99,"[2020-06-01 22:03:09.006039+02, 2020-06-02 00:11:16.778186+02]"
100,"[2020-06-03 16:50:50.128806+02, 2020-06-04 12:42:23.99397+02]"
