regionid,geom
23,"POLYGON((4.43751232142453 50.8971073,4.437453116618842 50.89672816528382,4.437277777409259 50.8963635975911,4.436993041983272 50.896027607554,4.436609852563623 50.89573310782986,4.436142934904811 50.89549141676098,4.435610232390617 50.89531182328268,4.435032216479914 50.895201229820245,4.4344311 50.89516388691862,4.433829983520085 50.895201229820245,4.433251967609384 50.89531182328268,4.432719265095189 50.89549141676098,4.432252347436378 50.89573310782986,4.431869158016728 50.896027607554,4.431584422590742 50.8963635975911,4.431409083381158 50.89672816528382,4.43134987857547 50.8971073,4.431409083381158 50.897486431629446,4.431584422590742 50.89785099053192,4.431869158016728 50.898186967413494,4.432252347436378 50.898481451619624,4.432719265095189 50.8987231271705,4.433251967609384 50.89890270749328,4.433829983520085 50.89901329216547,4.4344311 50.89905063198037,4.435032216479914 50.89901329216547,4.435610232390617 50.89890270749328,4.436142934904811 50.8987231271705,4.436609852563623 50.898481451619624,4.436993041983272 50.898186967413494,4.437277777409259 50.89785099053192,4.437453116618842 50.897486431629446,4.43751232142453 50.8971073))"
24,"POLYGON((4.478686289416032 50.8386188,4.478673157510893 50.83841829602951,4.478633851499706 50.83821916085176,4.478568639882382 50.8380227547881,4.478477968120391 50.837830419533965,4.478362455593808 50.837643468992475,4.478222891370316 50.837463180297654,4.478060228815081 50.83729078508822,4.477875579078289 50.8371274610921,4.477670203504877 50.83697432407863,4.47744550501826 50.83683242023412,4.477203018536941 50.83670271901235,4.476944400489467 50.83658610650938,4.476671417499337 50.83648337940775,4.476385934317174 50.83639523953149,4.47608990108259 50.836322289049505,4.475785340002749 50.8362650263598,4.475474331538648 50.836223842682934,4.475159000193455 50.83619901938801,4.474841500000001 50.83619072606952,4.474523999806546 50.83619901938801,4.474208668461352 50.836223842682934,4.473897659997252 50.8362650263598,4.473593098917411 50.836322289049505,4.473297065682826 50.83639523953149,4.473011582500663 50.83648337940775,4.472738599510533 50.83658610650938,4.472479981463059 50.83670271901235,4.472237494981741 50.83683242023412,4.472012796495124 50.83697432407863,4.471807420921711 50.8371274610921,4.47162277118492 50.83729078508822,4.471460108629684 50.837463180297654,4.471320544406192 50.837643468992475,4.47120503187961 50.837830419533965,4.471114360117618 50.8380227547881,4.471049148500295 50.83821916085176,4.471009842489107 50.83841829602951,4.470996710583969 50.8386188,4.471009842489107 50.838819303109,4.471049148500295 50.83901843572576,4.471114360117618 50.8392148375988,4.47120503187961 50.839407167147,4.471320544406192 50.83959411062287,4.471460108629684 50.83977439108512,4.47162277118492 50.83994677711959,4.471807420921711 50.84011009124865,4.472012796495124 50.84026321797207,4.472237494981741 50.84040511138426,4.472479981463059 50.84053480231597,4.472738599510533 50.84065140495187,4.473011582500663 50.84075412287856,4.473297065682826 50.840842254522244,4.473593098917411 50.8409151979386,4.473897659997252 50.84097245492237,4.474208668461352 50.841013634408625,4.474523999806546 50.84103845514255,4.474841500000001 50.84104674759955,4.475159000193455 50.84103845514255,4.475474331538648 50.841013634408625,4.475785340002749 50.84097245492237,4.47608990108259 50.8409151979386,4.476385934317174 50.840842254522244,4.476671417499337 50.84075412287856,4.476944400489467 50.84065140495187,4.477203018536941 50.84053480231597,4.47744550501826 50.84040511138426,4.477670203504877 50.84026321797207,4.477875579078289 50.84011009124865,4.478060228815081 50.83994677711959,4.478222891370316 50.83977439108512,4.478362455593808 50.83959411062287,4.478477968120391 50.839407167147,4.478568639882382 50.8392148375988,4.478633851499706 50.83901843572576,4.478673157510893 50.838819303109,4.478686289416032 50.8386188))"
25,"POLYGON((4.336501411923514 50.8550784,4.33641680482212 50.85439974250972,4.336165066825568 50.85373778630544,4.335752396558803 50.8531088319956,4.335188955333368 50.85252836815788,4.334488616942189 50.852010689798874,4.333668626040745 50.85156854616194,4.332749173526421 50.851212826574866,4.331752899371613 50.85095229209501,4.330704335152451 50.850793359581125,4.3296293 50.85073994352909,4.328554264847548 50.850793359581125,4.327505700628387 50.85095229209501,4.326509426473576 50.851212826574866,4.325589973959254 50.85156854616194,4.324769983057809 50.852010689798874,4.324069644666629 50.85252836815788,4.323506203441195 50.8531088319956,4.323093533174432 50.85373778630544,4.32284179517788 50.85439974250972,4.322757188076485 50.8550784,4.32284179517788 50.85575704761479,4.323093533174432 50.856418975159315,4.323506203441195 50.85704788483053,4.324069644666629 50.857628292420294,4.324769983057809 50.858145908427964,4.325589973959254 50.85858798971356,4.326509426473576 50.85894365305267,4.327505700628387 50.85920414289391,4.328554264847548 50.85936304674803,4.3296293 50.859416452924584,4.330704335152451 50.85936304674803,4.331752899371613 50.85920414289391,4.332749173526421 50.85894365305267,4.333668626040745 50.85858798971356,4.334488616942189 50.858145908427964,4.335188955333368 50.857628292420294,4.335752396558803 50.85704788483053,4.336165066825568 50.856418975159315,4.33641680482212 50.85575704761479,4.336501411923514 50.8550784))"
26,"POLYGON((4.369350538640028 50.8502027,4.369281832846664 50.849540883976495,4.369076891041746 50.84889038265842,4.368739219836376 50.84826232700616,4.368274596878498 50.847667464343616,4.36769097199574 50.84711597439226,4.366998331171657 50.84661729499413,4.366208525682785 50.8461799605121,4.365335069320014 50.84581145568053,4.364392907163879 50.84551808741536,4.363398159870088 50.84530487678539,4.362367847840635 50.845175473001234,4.3613196 50.84513209090004,4.360271352159364 50.845175473001234,4.359241040129911 50.84530487678539,4.35824629283612 50.84551808741536,4.357304130679985 50.84581145568053,4.356430674317214 50.8461799605121,4.355640868828342 50.84661729499413,4.354948228004258 50.84711597439226,4.354364603121501 50.847667464343616,4.353899980163623 50.84826232700616,4.353562308958254 50.84889038265842,4.353357367153334 50.849540883976495,4.35328866135997 50.8502027,4.353357367153334 50.85086450663371,4.353562308958254 50.85151498042229,4.353899980163623 50.85214299228144,4.354364603121501 50.85273779787172,4.354948228004258 50.853289221361,4.355640868828342 50.853787829436534,4.356430674317214 50.854225092595975,4.357304130679985 50.85459353096546,4.35824629283612 50.854886842158365,4.359241040129911 50.85510000899524,4.360271352159364 50.855229385249906,4.3613196 50.8552727579613,4.362367847840635 50.855229385249906,4.363398159870088 50.85510000899524,4.364392907163879 50.854886842158365,4.365335069320014 50.85459353096546,4.366208525682785 50.854225092595975,4.366998331171657 50.853787829436534,4.36769097199574 50.853289221361,4.368274596878498 50.85273779787172,4.368739219836376 50.85214299228144,4.369076891041746 50.85151498042229,4.369281832846664 50.85086450663371,4.369350538640028 50.8502027))"
27,"POLYGON((4.362283288455858 50.906497,4.362226781290108 50.90599878667509,4.362058410115796 50.90551071036649,4.36178160248449 50.90504270737238,4.361401993401316 50.90460430562818,4.360927310612506 50.904204430685084,4.360367217290766 50.903851223934005,4.359733115320952 50.90355187678218,4.359037913190571 50.90331248416461,4.3582957632102 50.90313792038056,4.357521773413255 50.9030317397894,4.3567317 50.902996104393814,4.355941626586745 50.9030317397894,4.355167636789799 50.90313792038056,4.354425486809428 50.90331248416461,4.353730284679048 50.90355187678218,4.353096182709235 50.903851223934005,4.352536089387494 50.904204430685084,4.352061406598684 50.90460430562818,4.35168179751551 50.90504270737238,4.351404989884204 50.90551071036649,4.351236618709892 50.90599878667509,4.351180111544141 50.906497,4.351236618709892 50.90699520799296,4.351404989884204 50.907483268737685,4.35168179751551 50.9079512471969,4.352061406598684 50.90838961742283,4.352536089387494 50.90878945641774,4.353096182709235 50.90914262570298,4.353730284679048 50.90944193690661,4.354425486809428 50.90968129800592,4.355167636789799 50.909855837255066,4.355941626586745 50.909962002282356,4.3567317 50.909997632346,4.357521773413255 50.909962002282356,4.3582957632102 50.909855837255066,4.359037913190571 50.90968129800592,4.359733115320952 50.90944193690661,4.360367217290766 50.90914262570298,4.360927310612506 50.90878945641774,4.361401993401316 50.90838961742283,4.36178160248449 50.9079512471969,4.362058410115796 50.907483268737685,4.362226781290108 50.90699520799296,4.362283288455858 50.906497))"
28,"POLYGON((4.357051500011033 50.90037389999999,4.357034097373014 50.90005261653675,4.356981970598092 50.899732828843945,4.356895362725351 50.89941602796555,4.356774677560676 50.899103691049476,4.356620477794013 50.89879727445895,4.356433482375858 50.89849820698039,4.356214563165169 50.898207883159245,4.355964740864367 50.897927656795176,4.355685180260336 50.89765883462663,4.355377184793666 50.897402670234726,4.3550421904814 50.89716035819454,4.354681759221658 50.89693302850138,4.354297571511357 50.89672174129806,4.35389141861095 50.89652748192778,4.353465194192747 50.89635115633583,4.353020885511739 50.896193586841584,4.352560564140098 50.896055508300584,4.35208637630855 50.89593756467469,4.351600532899663 50.895840306026344,4.351105299139682 50.89576418595111,4.350602984037005 50.89570955946026,4.35009592961652 50.895676681323685,4.3495865 50.89566570488058,4.34907707038348 50.895676681323685,4.348570015962995 50.89570955946026,4.348067700860318 50.89576418595111,4.347572467100336 50.895840306026344,4.347086623691449 50.89593756467469,4.346612435859902 50.896055508300584,4.346152114488261 50.896193586841584,4.345707805807253 50.89635115633583,4.34528158138905 50.89652748192778,4.344875428488643 50.89672174129806,4.344491240778342 50.89693302850138,4.3441308095186 50.89716035819454,4.343795815206334 50.897402670234726,4.343487819739663 50.89765883462663,4.343208259135633 50.897927656795176,4.34295843683483 50.898207883159245,4.342739517624142 50.89849820698039,4.342552522205986 50.89879727445895,4.342398322439324 50.899103691049476,4.342277637274649 50.89941602796555,4.342191029401908 50.899732828843945,4.342138902626985 50.90005261653675,4.342121499988966 50.90037389999999,4.342138902626985 50.90069518124638,4.342191029401908 50.9010149623299,4.342277637274649 50.901331752329696,4.342398322439324 50.90164407430053,4.342552522205986 50.90195047215753,4.342739517624142 50.90224951746329,4.34295843683483 50.90253981608539,4.343208259135633 50.902820014693575,4.343487819739663 50.903088807066425,4.343795815206334 50.903344940177874,4.3441308095186 50.90358722003554,4.344491240778342 50.90381451724362,4.344875428488643 50.90402577226441,4.34528158138905 50.90422000035424,4.345707805807253 50.904396296150495,4.346152114488261 50.904553837888855,4.346612435859902 50.90469189123081,4.347086623691449 50.90480981268391,4.347572467100336 50.90490705259874,4.348067700860318 50.90498315772872,4.348570015962995 50.90503777334098,4.34907707038348 50.90507064486826,4.3495865 50.90508161909452,4.35009592961652 50.90507064486826,4.350602984037005 50.90503777334098,4.351105299139682 50.90498315772872,4.351600532899663 50.90490705259874,4.35208637630855 50.90480981268391,4.352560564140098 50.90469189123081,4.353020885511739 50.904553837888855,4.353465194192747 50.904396296150495,4.35389141861095 50.90422000035424,4.354297571511357 50.90402577226441,4.354681759221658 50.90381451724362,4.3550421904814 50.90358722003554,4.355377184793666 50.903344940177874,4.355685180260336 50.903088807066425,4.355964740864367 50.902820014693575,4.356214563165169 50.90253981608539,4.356433482375858 50.90224951746329,4.356620477794013 50.90195047215753,4.356774677560676 50.90164407430053,4.356895362725351 50.901331752329696,4.356981970598092 50.9010149623299,4.357034097373014 50.90069518124638,4.357051500011033 50.90037389999999))"
29,"POLYGON((4.381241852718415 50.799741,4.381151605143594 50.79901623973046,4.380883084613938 50.79830931463524,4.380442902996057 50.79763763275125,4.37984189902226 50.797017734976876,4.379094871405002 50.796464887597935,4.378220214443461 50.79599270615147,4.377239465094849 50.79561281991163,4.376176772663052 50.795334585283726,4.375058304162613 50.795164855189,4.3739116 50.79510781014069,4.372764895837384 50.795164855189,4.371646427336946 50.795334585283726,4.370583734905149 50.79561281991163,4.369602985556538 50.79599270615147,4.368728328594996 50.796464887597935,4.367981300977738 50.797017734976876,4.367380297003942 50.79763763275125,4.36694011538606 50.79830931463524,4.366671594856404 50.79901623973046,4.366581347281584 50.799741,4.366671594856404 50.80046574902894,4.36694011538606 50.801172641502724,4.367380297003942 50.80184427257764,4.367981300977738 50.802464106328834,4.368728328594996 50.803016882737545,4.369602985556538 50.80348899321376,4.370583734905149 50.80386881543044,4.371646427336946 50.804146999249255,4.372764895837384 50.80431669672256,4.3739116 50.80437373053029,4.375058304162613 50.80431669672256,4.376176772663052 50.804146999249255,4.377239465094849 50.80386881543044,4.378220214443461 50.80348899321376,4.379094871405002 50.803016882737545,4.37984189902226 50.802464106328834,4.380442902996057 50.80184427257764,4.380883084613938 50.801172641502724,4.381151605143594 50.80046574902894,4.381241852718415 50.799741))"
30,"POLYGON((4.402973360410832 50.79609030000001,4.402970170333735 50.79603641078792,4.40296061794265 50.79598282288455,4.402944756658423 50.795929835976736,4.402922675183789 50.7958777463913,4.402894497007311 50.79582684543783,4.402860379712781 50.79577741777943,4.402820514097952 50.79572973984073,4.402775123107511 50.79568407826184,4.40272446058629 50.795640688407126,4.402668809859657 50.79559981293689,4.402608482149049 50.79556168045024,4.402543814831497 50.795526504206464,4.402475169552872 50.79549448093228,4.402402930205416 50.79546578972144,4.402327500780863 50.79544059103317,4.402249303111152 50.795419025794466,4.402168774509373 50.79540121461199,4.402086365324132 50.79538725709748,4.402002536421021 50.795377231310454,4.40191775660527 50.795371193321756,4.401832499999999 50.79536917689979,4.40174724339473 50.795371193321756,4.401662463578979 50.795377231310454,4.401578634675867 50.79538725709748,4.401496225490627 50.79540121461199,4.401415696888848 50.795419025794466,4.401337499219137 50.79544059103317,4.401262069794584 50.79546578972144,4.401189830447127 50.79549448093228,4.401121185168502 50.795526504206464,4.40105651785095 50.79556168045024,4.400996190140343 50.79559981293689,4.40094053941371 50.795640688407126,4.400889876892489 50.79568407826184,4.400844485902048 50.79572973984073,4.400804620287218 50.79577741777943,4.400770502992689 50.79582684543783,4.40074232481621 50.7958777463913,4.400720243341577 50.795929835976736,4.40070438205735 50.79598282288455,4.400694829666264 50.79603641078792,4.400691639589168 50.79609030000001,4.400694829666264 50.79614418914996,4.40070438205735 50.79619777686831,4.400720243341577 50.796250763472344,4.40074232481621 50.79630285264203,4.400770502992689 50.79635375307708,4.400804620287218 50.79640318012595,4.400844485902048 50.79645085737764,4.400889876892489 50.79649651820738,4.40094053941371 50.796539907267544,4.400996190140343 50.79658078191557,4.40105651785095 50.79661891357073,4.401121185168502 50.796654088992305,4.401189830447127 50.79668611147194,4.401262069794584 50.79671480193362,4.401337499219137 50.79673999993489,4.401415696888848 50.796761564564065,4.401496225490627 50.796779375228105,4.401578634675867 50.79679333232689,4.401662463578979 50.79680335781013,4.40174724339473 50.79680939561381,4.401832499999999 50.796811411973636,4.40191775660527 50.79680939561381,4.402002536421021 50.79680335781013,4.402086365324132 50.79679333232689,4.402168774509373 50.796779375228105,4.402249303111152 50.796761564564065,4.402327500780863 50.79673999993489,4.402402930205416 50.79671480193362,4.402475169552872 50.79668611147194,4.402543814831497 50.796654088992305,4.402608482149049 50.79661891357073,4.402668809859657 50.79658078191557,4.40272446058629 50.796539907267544,4.402775123107511 50.79649651820738,4.402820514097952 50.79645085737764,4.402860379712781 50.79640318012595,4.402894497007311 50.79635375307708,4.402922675183789 50.79630285264203,4.402944756658423 50.796250763472344,4.40296061794265 50.79619777686831,4.402970170333735 50.79614418914996,4.402973360410832 50.79609030000001))"
31,"POLYGON((4.370289459696218 50.8370606,4.37027225337487 50.83677019185753,4.370220730635554 50.836481406003145,4.370135179614329 50.83619585748955,4.370016078747208 50.835915143293825,4.36986409409455 50.83564083338486,4.369680075616185 50.83537446194118,4.369465052418089 50.83511751876837,4.369220226997206 50.83487144096418,4.368946968516601 50.83463760487793,4.368646805148542 50.834417318409365,4.36832141552834 50.834211813690004,4.36797261936674 50.834022240188055,4.367602367273366 50.833849658275675,4.367212729848108 50.83369503329441,4.366805886101504 50.83355923015231,4.366384111268814 50.833443008482945,4.365949764085989 50.833347018393454,4.365505273598665 50.833271796825585,4.365053125577948 50.83321776455014,4.364595848618978 50.833185223811476,4.364136 50.83317435663565,4.363676151381021 50.833185223811476,4.363218874422051 50.83321776455014,4.362766726401335 50.833271796825585,4.36232223591401 50.833347018393454,4.361887888731186 50.833443008482945,4.361466113898494 50.83355923015231,4.36105927015189 50.83369503329441,4.360669632726633 50.833849658275675,4.360299380633259 50.834022240188055,4.35995058447166 50.834211813690004,4.359625194851457 50.834417318409365,4.359325031483398 50.83463760487793,4.359051773002792 50.83487144096418,4.358806947581911 50.83511751876837,4.358591924383814 50.83537446194118,4.35840790590545 50.83564083338486,4.358255921252792 50.835915143293825,4.35813682038567 50.83619585748955,4.358051269364445 50.836481406003145,4.357999746625129 50.83677019185753,4.357982540303781 50.8370606,4.357999746625129 50.83735100633531,4.358051269364445 50.83763978680854,4.35813682038567 50.83792532648723,4.358255921252792 50.83820602859164,4.35840790590545 50.83848032342297,4.358591924383814 50.838746677139525,4.358806947581911 50.8390036003317,4.359051773002792 50.83924965634808,4.359325031483398 50.839483469326055,4.359625194851457 50.839703731882075,4.35995058447166 50.8399092124188,4.360299380633259 50.84009876200821,4.360669632726633 50.84027132081232,4.36105927015189 50.84042592400578,4.361466113898494 50.84056170716724,4.361887888731186 50.84067791110949,4.36232223591401 50.840773886121355,4.362766726401335 50.84084909559788,4.363218874422051 50.84090311903842,4.363676151381021 50.84093565439595,4.364136 50.8409465197646,4.364595848618978 50.84093565439595,4.365053125577948 50.84090311903842,4.365505273598665 50.84084909559788,4.365949764085989 50.840773886121355,4.366384111268814 50.84067791110949,4.366805886101504 50.84056170716724,4.367212729848108 50.84042592400578,4.367602367273366 50.84027132081232,4.36797261936674 50.84009876200821,4.36832141552834 50.8399092124188,4.368646805148542 50.839703731882075,4.368946968516601 50.839483469326055,4.369220226997206 50.83924965634808,4.369465052418089 50.8390036003317,4.369680075616185 50.838746677139525,4.36986409409455 50.83848032342297,4.370016078747208 50.83820602859164,4.370135179614329 50.83792532648723,4.370220730635554 50.83763978680854,4.37027225337487 50.83735100633531,4.370289459696218 50.8370606))"
32,"POLYGON((4.391457845495052 50.889676599999994,4.3914199225593 50.889281114228545,4.391306706753845 50.88889139224546,4.391119849020068 50.88851311728985,4.390862074164495 50.888151805806814,4.39053714112498 50.88781272698525,4.390149788156923 50.88750082589483,4.389705663738843 50.887220651344556,4.389211244204834 50.88697628951663,4.388673739305039 50.88677130434553,4.388100987071254 50.886608685513536,4.387501339520771 50.886490804823325,4.386883540865167 50.88641938158524,4.3862566 50.88639545752597,4.385629659134834 50.88641938158524,4.38501186047923 50.886490804823325,4.384412212928747 50.886608685513536,4.383839460694961 50.88677130434553,4.383301955795168 50.88697628951663,4.382807536261158 50.887220651344556,4.382363411843078 50.88750082589483,4.38197605887502 50.88781272698525,4.381651125835504 50.888151805806814,4.381393350979932 50.88851311728985,4.381206493246156 50.88889139224546,4.3810932774407 50.889281114228545,4.381055354504948 50.889676599999994,4.3810932774407 50.89007208241364,4.381206493246156 50.89046179451841,4.381393350979932 50.89084005364931,4.381651125835504 50.891201344280915,4.38197605887502 50.891540398436135,4.382363411843078 50.89185227247881,4.382807536261158 50.892132419171865,4.383301955795168 50.89237675395205,4.383839460694961 50.8925817144568,4.384412212928747 50.89274431243736,4.38501186047923 50.89286217730286,4.385629659134834 50.89293359066264,4.3862566 50.8929575113641,4.386883540865167 50.89293359066264,4.387501339520771 50.89286217730286,4.388100987071254 50.89274431243736,4.388673739305039 50.8925817144568,4.389211244204834 50.89237675395205,4.389705663738843 50.892132419171865,4.390149788156923 50.89185227247881,4.39053714112498 50.891540398436135,4.390862074164495 50.891201344280915,4.391119849020068 50.89084005364931,4.391306706753845 50.89046179451841,4.3914199225593 50.89007208241364,4.391457845495052 50.889676599999994))"
33,"POLYGON((4.37481254404376 50.82026549999999,4.374811959079156 50.8202537405865,4.37481020649393 50.8202420275791,4.374807293204739 50.820230407203724,4.374803230709002 50.82021892532079,4.374798035039534 50.82020762724414,4.374791726701269 50.820196557562284,4.374784330590336 50.82018575996237,4.374775875895806 50.8201752770578,4.374766395984495 50.820165150220035,4.374755928269283 50.82015541941532,4.374744514061459 50.820146123046946,4.374732198407687 50.82013729780372,4.374719029912225 50.82012897851512,4.37470506054511 50.82012119801383,4.374690345437052 50.82011398700623,4.374674942661858 50.82010737395115,4.374658913007246 50.82010138494754,4.37464231973494 50.82009604363152,4.374625228331005 50.82009137108304,4.374607706247404 50.82008738574274,4.374589822635794 50.82008410333907,4.374571648074621 50.82008153682637,4.374553254290576 50.820079696333586,4.374534713875519 50.82007858912439,4.3745161 50.82007821956851,4.374497486124481 50.82007858912439,4.374478945709424 50.820079696333586,4.374460551925379 50.82008153682637,4.374442377364207 50.82008410333907,4.374424493752597 50.82008738574274,4.374406971668996 50.82009137108304,4.37438988026506 50.82009604363152,4.374373286992753 50.82010138494754,4.374357257338142 50.82010737395115,4.374341854562949 50.82011398700623,4.37432713945489 50.82012119801383,4.374313170087775 50.82012897851512,4.374300001592314 50.82013729780372,4.374287685938541 50.820146123046946,4.374276271730717 50.82015541941532,4.374265804015505 50.820165150220035,4.374256324104195 50.8201752770578,4.374247869409665 50.82018575996237,4.374240473298731 50.820196557562284,4.374234164960466 50.82020762724414,4.374228969290998 50.82021892532079,4.37422490679526 50.820230407203724,4.37422199350607 50.8202420275791,4.374220240920844 50.8202537405865,4.374219655956241 50.82026549999999,4.374220240920844 50.82027725941052,4.37422199350607 50.82028897240909,4.37422490679526 50.82030059276988,4.374228969290998 50.820312074632746,4.374234164960466 50.820323372684115,4.374240473298731 50.82033444233592,4.374247869409665 50.82034523990144,4.374256324104195 50.820355722767864,4.374265804015505 50.8203658495643,4.374276271730717 50.82037558032516,4.374287685938541 50.82038487664785,4.374300001592314 50.82039370184429,4.374313170087775 50.820402021085734,4.37432713945489 50.82040980154022,4.374341854562949 50.82041701250215,4.374357257338142 50.82042362551337,4.374373286992753 50.82042961447564,4.37438988026506 50.82043495575351,4.374406971668996 50.82043962826761,4.374424493752597 50.820443613577865,4.374442377364207 50.820446895956245,4.374460551925379 50.82044946244888,4.374478945709424 50.82045130292708,4.374497486124481 50.82045241012743,4.3745161 50.82045277968036,4.374534713875519 50.82045241012743,4.374553254290576 50.82045130292708,4.374571648074621 50.82044946244888,4.374589822635794 50.820446895956245,4.374607706247404 50.820443613577865,4.374625228331005 50.82043962826761,4.37464231973494 50.82043495575351,4.374658913007246 50.82042961447564,4.374674942661858 50.82042362551337,4.374690345437052 50.82041701250215,4.37470506054511 50.82040980154022,4.374719029912225 50.820402021085734,4.374732198407687 50.82039370184429,4.374744514061459 50.82038487664785,4.374755928269283 50.82037558032516,4.374766395984495 50.8203658495643,4.374775875895806 50.820355722767864,4.374784330590336 50.82034523990144,4.374791726701269 50.82033444233592,4.374798035039534 50.820323372684115,4.374803230709002 50.820312074632746,4.374807293204739 50.82030059276988,4.37481020649393 50.82028897240909,4.374811959079156 50.82027725941052,4.37481254404376 50.82026549999999))"
34,"POLYGON((4.349595765948376 50.90142970000001,4.348856425569615 50.90030401158253,4.3470715 50.89983772820188,4.345286574430385 50.90030401158253,4.344547234051624 50.90142970000001,4.345286574430385 50.90255536120257,4.3470715 50.903021617368296,4.348856425569615 50.90255536120257,4.349595765948376 50.90142970000001))"
35,"POLYGON((4.408875289058726 50.8669689,4.408844706828978 50.86657601438048,4.408753254663328 50.86618690920079,4.408601813296122 50.86580533189771,4.408391841190513 50.86543495749855,4.40812536049266 50.86507935321984,4.407804937557357 50.86474194410118,4.407433658232632 50.86442598000582,4.407015098141344 50.8641345043062,4.406553288245982 50.86387032455676,4.406052676028284 50.86363598543698,4.405518082657575 50.86343374422618,4.40495465656025 50.86326554904679,4.404367823837627 50.86313302008633,4.40376323600962 50.86303743397976,4.403146715587515 50.862979711502845,4.4025242 50.86296040869578,4.401901684412485 50.862979711502845,4.40128516399038 50.86303743397976,4.400680576162374 50.86313302008633,4.400093743439752 50.86326554904679,4.399530317342426 50.86343374422618,4.398995723971716 50.86363598543698,4.39849511175402 50.86387032455676,4.398033301858656 50.8641345043062,4.397614741767368 50.86442598000582,4.397243462442643 50.86474194410118,4.396923039507341 50.86507935321984,4.396656558809488 50.86543495749855,4.396446586703879 50.86580533189771,4.396295145336673 50.86618690920079,4.396203693171023 50.86657601438048,4.396173110941276 50.8669689,4.396203693171023 50.8673617823084,4.396295145336673 50.86775087768194,4.396446586703879 50.868132439060716,4.396656558809488 50.86850279202936,4.396923039507341 50.86885837019492,4.397243462442643 50.8691957495213,4.397614741767368 50.869511681290156,4.398033301858656 50.86980312337133,4.39849511175402 50.870067269502314,4.398995723971716 50.87030157629558,4.399530317342426 50.8705037877141,4.400093743439752 50.87067195678034,4.400680576162374 50.87080446431029,4.40128516399038 50.87090003449255,4.401901684412485 50.870957747163324,4.4025242 50.87097704665926,4.403146715587515 50.870957747163324,4.40376323600962 50.87090003449255,4.404367823837627 50.87080446431029,4.40495465656025 50.87067195678034,4.405518082657575 50.8705037877141,4.406052676028284 50.87030157629558,4.406553288245982 50.870067269502314,4.407015098141344 50.86980312337133,4.407433658232632 50.869511681290156,4.407804937557357 50.8691957495213,4.40812536049266 50.86885837019492,4.408391841190513 50.86850279202936,4.408601813296122 50.868132439060716,4.408753254663328 50.86775087768194,4.408844706828978 50.8673617823084,4.408875289058726 50.8669689))"
36,"POLYGON((4.30522471408942 50.7666451,4.2984604 50.76236660876242,4.29169608591058 50.7666451,4.2984604 50.770923200003935,4.30522471408942 50.7666451))"
37,"POLYGON((4.425555937434296 50.8505241,4.424694221213652 50.848493667783565,4.422339968717147 50.847007232208774,4.419124 50.84646314718645,4.415908031282852 50.847007232208774,4.413553778786348 50.848493667783565,4.412692062565704 50.8505241,4.413553778786348 50.85255444383708,4.415908031282852 50.85404070265314,4.419124 50.85458469929609,4.422339968717147 50.85404070265314,4.424694221213652 50.85255444383708,4.425555937434296 50.8505241))"
38,"POLYGON((4.426602272211565 50.88546829999999,4.426555900124326 50.88498465667141,4.426417460072058 50.88450806104002,4.426188970822466 50.88404546326483,4.42587376426332 50.88360360957814,4.425476436816036 50.88318894388033,4.4250027824095 50.88280751373385,4.424459707991536 50.8824648821295,4.423855132810054 50.882166046314325,4.423197872932586 50.881915364867766,4.422497512688164 50.88171649409268,4.421764264906227 50.881572334651466,4.421008821990565 50.88148498922846,4.420242199999999 50.88145573183816,4.419475578009433 50.88148498922846,4.41872013509377 50.881572334651466,4.417986887311834 50.88171649409268,4.417286527067413 50.881915364867766,4.416629267189944 50.882166046314325,4.416024692008461 50.8824648821295,4.415481617590498 50.88280751373385,4.415007963183961 50.88318894388033,4.414610635736678 50.88360360957814,4.414295429177533 50.88404546326483,4.41406693992794 50.88450806104002,4.413928499875673 50.88498465667141,4.413882127788432 50.88546829999999,4.413928499875673 50.88595193830771,4.41406693992794 50.88642851916825,4.414295429177533 50.88689109328106,4.414610635736678 50.887332915789,4.415007963183961 50.88774754460372,4.415481617590498 50.88812893430623,4.416024692008461 50.88847152425622,4.416629267189944 50.88877031962743,4.417286527067413 50.88902096419087,4.417986887311834 50.88921980378722,4.41872013509377 50.88936393956607,4.419475578009433 50.889451270218224,4.420242199999999 50.88948052258765,4.421008821990565 50.889451270218224,4.421764264906227 50.88936393956607,4.422497512688164 50.88921980378722,4.423197872932586 50.88902096419087,4.423855132810054 50.88877031962743,4.424459707991536 50.88847152425622,4.4250027824095 50.88812893430623,4.425476436816036 50.88774754460372,4.42587376426332 50.887332915789,4.426188970822466 50.88689109328106,4.426417460072058 50.88642851916825,4.426555900124326 50.88595193830771,4.426602272211565 50.88546829999999))"
39,"POLYGON((4.453141633337011 50.8569168,4.452808259882935 50.856131401765104,4.451897466668505 50.85555644196731,4.4506533 50.85534599030305,4.449409133331494 50.85555644196731,4.448498340117065 50.856131401765104,4.448164966662989 50.8569168,4.448498340117065 50.8577021850078,4.449409133331494 50.85827711835143,4.4506533 50.858487556788596,4.451897466668505 50.85827711835143,4.452808259882935 50.8577021850078,4.453141633337011 50.8569168))"
